D00159,14,184,32,83
P001,5,86,48,86,180
D002,25,157,134,79,88
P002,8,57,163,76,164
D003,28,63,106,113,176
P003,17,153,36,144,113
D013,22,3,167,57,62
P013,41,37,69,113,16
D014,42,41,41,158,0
P014,30,165,125,148,192
P015,1,57,91,136,163
P016,13,44,165,182,179
P017,5,189,117,128,141
P018,9,128,129,107,184
P019,13,133,162,109,7
P020,40,112,62,3,193
P021,6,6,19,179,130
P022,34,106,103,69,164
P023,56,200,38,120,157
P024,6,132,131,57,64
P025,38,148,69,46,15
P026,33,191,24,99,35
P027,56,122,125,97,33
P028,6,72,61,15,140
P029,1,115,61,147,100
P030,56,38,8,32,156
P031,46,198,192,156,34
